uid,term,estimate,std.error,statistic,p.value,conf.low,conf.high,NRMSE
1,female,3.698934786579487,1.6010534330165866,2.31031314152347,0.020957235445698018,0.55930722552859935,6.838562347630374,0.2853174578415661
2,female,3.817316119187777,1.6944210395514012,2.2528734181667227,0.02435917241504497,0.4945976420380336,7.14003459633752,0.30104716333389964
3,female,3.9658941767776965,1.6029924734500205,2.4740566424757757,0.013429122373583024,0.8224648956620118,7.109323457893382,0.28546355895946945
4,female,4.224637545888201,1.700840654132025,2.4838526381791617,0.013066256151977403,0.8893310941148753,7.559943997661526,0.303248774203585
5,female,4.108136018070737,1.6086560148107492,2.553769096840781,0.010719106915726596,0.9536006699940462,7.262671366147428,0.2865961899444833
6,female,4.265897013883026,1.70313203161305,2.504736529347499,0.012321565125388222,0.9260972275475563,7.605696800218496,0.3025333027487102
7,female,4.442601638208549,1.6114457744840298,2.7569042089740994,0.0058802946911912825,1.2825963342065383,7.60260694221056,0.2865184807619029
8,female,4.762355538190719,1.711076617865536,2.783250900904407,0.005424795546428747,1.4069773520583193,8.117733724323118,0.30462536570889776
9,female,3.9694504468955194,1.640418399317325,2.4197792761574988,0.015605484505090009,0.7526298347582059,7.186271059032833,0.2914801892285582
10,female,4.1233890107312945,1.7400168431137837,2.369740860296751,0.01788100906935179,0.711259021403575,7.535519000059014,0.3089880863922121
11,female,4.284247237494638,1.643510612410951,2.6067657885152644,0.009198036059066115,1.061363579454634,7.507130895534642,0.29298491969167734
12,female,4.595123701040058,1.7485053843179628,2.628029482924625,0.008644039561799854,1.166348645838768,8.023898756241348,0.3106436760284432
13,female,4.452163654910974,1.650678584827459,2.6971717545947,0.00704312648260684,1.2152237802648864,7.6891035295570616,0.29396822431495434
14,female,4.656337789433704,1.7518555630424186,2.657946172997915,0.007915163522428013,1.2209931180654259,8.091682460801982,0.31161680373451067
15,female,4.850323708528207,1.6550069886525824,2.9306968138406955,0.003414679991561947,1.604896654216172,8.095750762840243,0.2945741289966349
16,female,5.238505236659501,1.7624658295271338,2.972259177396354,0.002986205549764836,1.7823548585652182,8.694655614753783,0.31406844429815445
17,female,1.454032166921358,1.4718366767226632,0.9879032027922077,0.3233019326951875,-1.432203784438068,4.340268118280784,0.28511039420730544
18,female,1.425816944040226,1.5577357723566223,0.9153137324972497,0.36012098179466423,-1.6288643743285036,4.480498262408956,0.3019389936961977
19,female,1.64550610431317,1.4746278089109768,1.115878931869858,0.2645881959587103,-1.2462025534476442,4.537214762073984,0.2866488879964426
20,female,1.7116035311740314,1.564888054433296,1.0937546147950286,0.2741748086206056,-1.3571025610959306,4.780309623443993,0.3037017350067017
21,female,1.8622138381524935,1.4784749195505833,1.2595505094659005,0.20795679845056278,-1.0370389084127558,4.761466584717743,0.2866865383531336
22,female,1.87189246732708,1.5653862993986036,1.195802255357819,0.23189448347243036,-1.1977906707808583,4.941575605435018,0.30360579236173463
23,female,2.1098473914505593,1.4821482408819493,1.423506322279274,0.15472229231591145,-0.7966080087018468,5.016302791602966,0.2872601411354956
24,female,2.2328699457532406,1.5740598499304417,1.4185419606833323,0.15616525448416826,-0.8538211289552642,5.319561020461745,0.30541389282877257
25,female,1.8392236314187982,1.5071930900176886,1.2202972821466511,0.22247479400699477,-1.1163447370769157,4.794791999914512,0.2925642595532833
26,female,1.8522464703846362,1.5987624727106435,1.1585501298665208,0.24675742562498132,-1.2828865036327501,4.9873794444020225,0.3095236763707097
27,female,2.0671321243730563,1.5110646505589116,1.3679971426824569,0.17144387188103463,-0.8960276274362502,5.030291876182362,0.2929063571811339
28,female,2.1878546712847413,1.607837374882115,1.3607437577106656,0.17372522125608783,-0.9650732652550853,5.340782607824568,0.31109974617074426
29,female,2.3252134250865857,1.5161808720602996,1.5335989708977875,0.12526306434462897,-0.6479791083304747,5.298405958503646,0.2945432311817982
30,female,2.3870541001746197,1.6091879671570917,1.4833904732656948,0.13810485113444873,-0.7685223132455015,5.542630513594741,0.31155057381472423
31,female,2.6232099222483787,1.5212889423290572,1.7243337864747157,0.08477916247629678,-0.3599987534238638,5.606418597920621,0.2953409780036579
32,female,2.816685845411918,1.6203332967741457,1.7383373229566663,0.08228236928378622,-0.36074557706168875,5.994117267885525,0.3142102799555289
33,female,3.9942713198650197,1.6008855824726373,2.495038598383586,0.012662598413087605,0.8549736007498545,7.133569038980185,0.2847274297594005
34,female,4.100680077787202,1.6936579418494127,2.4211973247144636,0.015544860381344899,0.7794587471327938,7.42190140844161,0.30142737579440043
35,female,4.235603906948735,1.602691534899717,2.642806687822035,0.008276853534468357,1.0927654502319153,7.378442363665554,0.28570305585906147
36,female,4.474264861961419,1.699829182732728,2.6321849909461923,0.00853933126395837,1.140942613067903,7.807587110854936,0.30263550004065487
